,PRICE,PRICE,PRICE,PRICE,EMA,ema_period
,open,high,low,close,,
Timestamp,,,,,,
2023-05-17 03:00:00,1826.7895844024,1826.7895844024,1818.6703750715,1819.3071549272,1817.846456751661,25
2023-05-17 06:30:00,1819.4414564625,1820.9754126155,1804.8738680351,1807.468536196,1817.0481551704565,25
2023-05-17 10:00:00,1807.3058658165,1807.3058658165,1790.9186798598,1800.107896173,1815.7450583244986,25
2023-05-17 13:30:00,1799.869389254,1806.0410762932,1785.8099126959,1805.5020961834,1814.957138159799,25
2023-05-17 17:00:00,1805.1899077744,1832.9657390467,1802.5656659069,1826.0557218391,1815.8108753658992,25
2023-05-17 20:30:00,1825.8586171387,1828.6546154326,1821.6800019712,1822.4084782555,1816.3183832804839,25
2023-05-18 00:00:00,1823.036925532,1826.0936717323,1820.8259837919,1826.0936717323,1817.0703285460083,25
2023-05-18 03:30:00,1825.9423084611,1825.9423084611,1817.6244705154,1818.4988035115,1817.1802112356618,25
2023-05-18 07:00:00,1818.3174101756,1829.9594194639,1818.3174101756,1826.4963832445,1817.8968398517263,25
2023-05-18 10:30:00,1826.615271549,1826.8666075545,1815.4501182515,1819.6654479084,1818.0328866253167,25
2023-05-18 14:00:00,1819.4230808627,1823.203591334,1808.6293982765,1810.7995596903,1817.4764768610848,25
2023-05-18 17:30:00,1810.6680330422,1810.6680330422,1775.7169285903,1799.2951535582,1816.0779135300936,25
2023-05-18 21:00:00,1799.6350423658,1818.9989306148,1799.240236373,1802.7447626109,1815.0522865363096,25
2023-05-19 00:30:00,1802.9787893588,1807.9874651787,1799.8812200859,1803.5381623835,1814.1665846784013,25
2023-05-19 04:00:00,1803.3908260777,1810.8238935707,1802.3078049504,1810.5009124995,1813.8846098954089,25
2023-05-19 07:30:00,1810.5009124995,1810.8746664532,1808.5317884987,1809.309461632,1813.532675413608,25
2023-05-19 11:00:00,1809.3731671307,1818.1906095189,1808.8310496329,1811.1300765459,1813.347860116092,25
